#aspect_ratio,Rad,RadS,MetaSpindle_L,spindle_length,time[sec],spindle_length/(Rad*2)
1.0,60.000,60.000,25.000,41.615,1352.000000,0.347
1.5,73.485,48.990,25.000,68.231,1893.050000,0.464
2.0,84.853,42.426,25.000,93.549,2359.300000,0.551
2.5,94.868,37.947,25.000,116.593,2755.950000,0.615
3.0,103.923,34.641,25.000,137.533,3130.750000,0.662
3.5,112.250,32.071,25.000,156.760,3427.100000,0.698
4.0,120.000,30.000,25.000,174.351,3807.700000,0.726
