name,long axis,short axis,aspect ratio,distance between centrosome,Sec,distance from centrosome/long axis,alive,
TH27+dpy-11_170523to_02,306.198,203.030,1.508,134.201,82,0.438,+,
TH27+dpy-11_170523to_03,312.170,206.495,1.512,137.233,120,0.440,+,
TH27+dpy-11_170523to_05,318.071,218.710,1.454,131.046,82,0.412,+,
TH27+dpy-11_170523to_08,334.201,194.648,1.717,157.918,97,0.473,+,
TH27+dpy-11_170523to_09,307.955,223.224,1.380,133.600,109,0.434,+,
TH27+dpy-11_170523to_10,345.951,217.249,1.592,140.911,96,0.407,+,
TH27+dpy-11_170523to_11,318.911,198.829,1.604,151.344,133,0.475,+,
TH27+dpy-11_170523to_12,322.372,215.128,1.499,134.123,160,0.416,+,
TH27+dpy-11_170524to_01,313.249,231.579,1.353,141.287,124,0.451,-,
TH27+dpy-11_170524to_03,308.506,221.165,1.395,140.089,77,0.454,+,
