#p,(int)(i/100),time_sec,cen_distance*10^6,PVecCen[0][0]*10^6,PVecCen[0][2]*10^6,PVecCen[1][0]*10^6,PVecCen[1][2]*10^6
1,0,0.000000,14.284955,-7.142477,-0.000000,7.142477,0.000000
1,0,1.000000,15.145194,-7.572597,-0.000000,7.572597,0.000000
1,0,2.000000,15.951807,-7.975904,-0.000000,7.975904,0.000000
1,0,3.000000,16.708917,-8.354458,-0.000000,8.354458,0.000000
1,0,4.000000,17.420202,-8.710101,-0.000000,8.710101,0.000000
1,1,5.000000,18.088964,-9.044482,-0.000000,9.044482,0.000000
1,1,6.000000,18.718178,-9.359089,-0.000000,9.359089,0.000000
1,1,7.000000,19.310539,-9.655270,-0.000000,9.655270,0.000000
1,1,8.000000,19.868498,-9.934249,-0.000000,9.934249,0.000000
1,1,9.000000,20.394293,-10.197147,-0.000000,10.197147,0.000000
1,2,10.000000,20.889975,-10.444987,-0.000000,10.444987,0.000000
1,2,11.000000,21.357428,-10.678714,-0.000000,10.678714,0.000000
1,2,12.000000,21.798394,-10.899197,-0.000000,10.899197,0.000000
1,2,13.000000,22.214478,-11.107239,-0.000000,11.107239,0.000000
1,2,14.000000,22.607174,-11.303587,-0.000000,11.303587,0.000000
1,3,15.000000,22.977866,-11.488933,-0.000000,11.488933,0.000000
1,3,16.000000,23.327844,-11.663922,-0.000000,11.663922,0.000000
1,3,17.000000,23.658313,-11.829156,-0.000000,11.829156,0.000000
1,3,18.000000,23.970396,-11.985198,-0.000000,11.985198,0.000000
1,3,19.000000,24.265147,-12.132573,-0.000000,12.132573,0.000000
1,4,20.000000,24.543550,-12.271775,-0.000000,12.271775,0.000000
1,4,21.000000,24.806533,-12.403266,-0.000000,12.403266,0.000000
1,4,22.000000,25.054962,-12.527481,-0.000000,12.527481,0.000000
1,4,23.000000,25.289654,-12.644827,-0.000000,12.644827,0.000000
1,4,24.000000,25.511379,-12.755689,-0.000000,12.755689,0.000000
1,5,25.000000,25.720857,-12.860429,-0.000000,12.860429,0.000000
1,5,26.000000,25.918771,-12.959385,-0.000000,12.959385,0.000000
