#aspect_ratio,Rad,RadS,MetaSpindle_L,spindle_length,time[sec],spindle_length/(Rad*2)
1.0,60.000,60.000,25.000,41.301,1265.500000,0.344
1.5,73.485,48.990,25.000,47.057,1309.850000,0.320
2.0,84.853,42.426,25.000,50.595,1343.700000,0.298
2.5,94.868,37.947,25.000,53.033,1373.100000,0.280
3.0,103.923,34.641,25.000,54.769,1399.400000,0.264
3.5,112.250,32.071,25.000,56.129,1423.400000,0.250
4.0,120.000,30.000,25.000,57.196,1445.400000,0.238
